write_operation;dataset_size;versioning_mode;query_type;procedure_to_evaluate;Increment;Memory_in_MB;Time_in_Seconds;Memory_in_MB_instances
timestamped_update;big;mem_sav;complex_query;cite_query;4;9.346986770629883;0.5212498360006066;9.346986770629883
timestamped_update;big;mem_sav;complex_query;cite_query;5;9.346986770629883;0.44061017300009553;9.346986770629883
timestamped_update;big;mem_sav;complex_query;cite_query;6;9.346986770629883;0.4844545380001364;9.346986770629883
timestamped_update;big;mem_sav;complex_query;cite_query;7;9.346986770629883;0.4504615779997039;9.346986770629883
timestamped_update;big;mem_sav;complex_query;cite_query;8;9.346986770629883;0.47532556599981035;9.346986770629883
timestamped_update;big;mem_sav;complex_query;cite_query;9;9.346986770629883;0.49595019099979254;9.346986770629883
timestamped_update;big;mem_sav;complex_query;cite_query;10;9.346986770629883;0.6201999590002742;9.346986770629883
timestamped_update;big;q_perf;simple_query;cite_query;1;9.346986770629883;0.13719128199954866;9.346986770629883
timestamped_update;big;q_perf;simple_query;cite_query;2;9.346986770629883;0.12560332700013532;9.346986770629883
timestamped_update;big;q_perf;simple_query;cite_query;3;9.346986770629883;0.12932178800019756;9.346986770629883
timestamped_update;big;q_perf;simple_query;cite_query;4;9.346986770629883;0.13001471999996284;9.346986770629883
timestamped_update;big;q_perf;simple_query;cite_query;5;9.346986770629883;0.19288330800009135;9.346986770629883
timestamped_update;big;q_perf;simple_query;cite_query;6;9.346986770629883;0.12081123600000865;9.346986770629883
timestamped_update;big;q_perf;simple_query;cite_query;7;9.346986770629883;0.3508973079997304;9.346986770629883
timestamped_update;big;q_perf;simple_query;cite_query;8;9.346986770629883;0.12077811300059693;9.346986770629883
timestamped_update;big;q_perf;simple_query;cite_query;9;9.346986770629883;0.12992431400016358;9.346986770629883
timestamped_update;big;q_perf;simple_query;cite_query;10;9.346986770629883;0.12513250000029075;9.346986770629883
timestamped_update;big;mem_sav;simple_query;cite_query;1;9.346986770629883;0.18853407599999628;9.346986770629883
timestamped_update;big;mem_sav;simple_query;cite_query;2;9.346986770629883;0.1371858530001191;9.346986770629883
timestamped_update;big;mem_sav;simple_query;cite_query;3;9.346986770629883;0.15655197700016288;9.346986770629883
timestamped_update;big;mem_sav;simple_query;cite_query;4;9.346986770629883;0.14224676100002398;9.346986770629883
timestamped_update;big;mem_sav;simple_query;cite_query;5;9.346986770629883;0.14198964700062788;9.346986770629883
timestamped_update;big;mem_sav;simple_query;cite_query;6;9.346986770629883;0.1878844790007861;9.346986770629883
timestamped_update;big;mem_sav;simple_query;cite_query;7;9.346986770629883;0.14474631000030058;9.346986770629883
timestamped_update;big;mem_sav;simple_query;cite_query;8;9.346986770629883;0.14992962999986048;9.346986770629883
timestamped_update;big;mem_sav;simple_query;cite_query;9;9.346986770629883;0.17478691399992385;9.346986770629883
timestamped_update;big;mem_sav;simple_query;cite_query;10;9.346986770629883;0.14984614000059082;9.346986770629883
timestamped_update;big;q_perf;complex_query;retrieve_live_data;1;9.346986770629883;0.2552988469997217;9.346986770629883
timestamped_update;big;q_perf;complex_query;retrieve_live_data;2;9.346986770629883;0.202208796999912;9.346986770629883
timestamped_update;big;q_perf;complex_query;retrieve_live_data;3;9.346986770629883;0.21146753999983048;9.346986770629883
timestamped_update;big;q_perf;complex_query;retrieve_live_data;4;9.346986770629883;0.21171682299973327;9.346986770629883
timestamped_update;big;q_perf;complex_query;retrieve_live_data;5;9.346986770629883;0.2327756019994922;9.346986770629883
timestamped_update;big;q_perf;complex_query;retrieve_live_data;6;9.346986770629883;0.21802448600010393;9.346986770629883
timestamped_update;big;q_perf;complex_query;retrieve_live_data;7;9.346986770629883;0.23017125299975305;9.346986770629883
timestamped_update;big;q_perf;complex_query;retrieve_live_data;8;9.346986770629883;0.2299885299999005;9.346986770629883
timestamped_update;big;q_perf;complex_query;retrieve_live_data;9;9.346986770629883;0.22270436100006918;9.346986770629883
timestamped_update;big;q_perf;complex_query;retrieve_live_data;10;9.346986770629883;0.23591641100028937;9.346986770629883
timestamped_update;big;mem_sav;complex_query;retrieve_live_data;1;9.346986770629883;0.25685240700022405;9.346986770629883
timestamped_update;big;mem_sav;complex_query;retrieve_live_data;2;9.346986770629883;0.21016721400064853;9.346986770629883
timestamped_update;big;mem_sav;complex_query;retrieve_live_data;3;9.346986770629883;0.2190449030003947;9.346986770629883
timestamped_update;big;mem_sav;complex_query;retrieve_live_data;4;9.346986770629883;0.2068728120002561;9.346986770629883
timestamped_update;big;mem_sav;complex_query;retrieve_live_data;5;9.346986770629883;0.20439920600074402;9.346986770629883
timestamped_update;big;mem_sav;complex_query;retrieve_live_data;6;9.346986770629883;0.2075879560006797;9.346986770629883
timestamped_update;big;mem_sav;complex_query;retrieve_live_data;7;9.346986770629883;0.20472803799930261;9.346986770629883
timestamped_update;big;mem_sav;complex_query;retrieve_live_data;8;9.346986770629883;0.21931026299989753;9.346986770629883
timestamped_update;big;mem_sav;complex_query;retrieve_live_data;9;9.346986770629883;0.23829808599930402;9.346986770629883
timestamped_update;big;mem_sav;complex_query;retrieve_live_data;10;9.346986770629883;0.21644097900025372;9.346986770629883
timestamped_update;big;q_perf;simple_query;retrieve_live_data;1;9.346986770629883;0.08438095100063947;9.346986770629883
